name,color,is_seedless,melon_img_url
Ali Baba Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Ali-Baba-Watermelon-web.jpg
Ancient Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Ancient-Watermelon-web.jpg
Arkansas Black Watermelon,black,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Arkansas-Black-Watermelon-web.jpg
Chris Cross Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/watermelon-criss-cross.jpg
Congo Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/watermelon-congo.jpg
Crenshaw,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimRegular/crenshaw.jpg
Crimson Sweet Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Crimson-Sweet-Watermelon-web.jpg
Desert King Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Desert-King-Watermelon-web.jpg
Dixie Queen Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Dixie-Queen-Watermelon-web.jpg
Fairfax Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Fairfax-Watermelon-web-2.jpg
Golden Honey Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Golden-Honey-Watermelon-web.jpg
Golden Midget Watermelon,gold,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Golden-Midget-Watermelon-web.jpg
Hopi Yellow Watermelon,gold,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Hopi-Yellow-Watermelon-web.jpg
Irish Grey Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/watermelon-irish-grey.jpg
Jubilee Bush Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Jubilee-Bush-Watermelon-web.jpg
Jubilee Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Jubilee-Watermelon-web.jpg
Ledmon Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Ledmon-Watermelon-web.jpg
Malali Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Malali-Watermelon-web.jpg
Melitopolski Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Melitopolski-Watermelon-web.jpg
Montenegro Man Melon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/watermelon-montenegro-man.jpg
Moon and Stars Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Moon-and-Stars-Watermelon-web.jpg
Moonbeam Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimRegular/Watermelon-Early-Moonbeam-WMTrue97-webTrue.jpg
Navajo Winter Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Navajo-Winter-Watermelon-web.jpg
Orangeglo Watermelon,white,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Orange-Glo-watermelon-web.jpg
Royal Golden Watermelon,gold,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Royal-Golden-Watermelon-web.jpg
Scaly Bark Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Scaly-Bark-Watermelon-web-.jpg
Stone Mountain Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Stone-Mountain-Watermelon-web.jpg
Sugar Baby Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Sugar-Baby-Watermelon-web.jpg
Takii Gem Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Takii-Gem-Watermelon-web.jpg
Tendergold Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/watermelon-tendergold.jpg
Texas Golden Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Texas-Golden-2-Watermelon-web.jpg
Thai Rom Dao Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Thai-Rom-Dao-Watermelon-web.jpg
Tom Watson Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Tom-Watson-Watermelon-web.jpg
White Wonder Watermelon,green,TRUE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/White-Wonder-Watermelon-web.jpg
Wilsons Sweet Watermelon,green,FALSE,http://www.rareseeds.com/assets/True/True4/DimThumbnail/Wilsons-Sweet-Watermelon-web.jpg
